Hash;Count;Manufacturer;Model;Year From;Year To;Horsepower;Fuel Type
b24f0b2c0893f23180eb8b17ace8236fddfbae68dadac46699ac8dadf58a08ea;3;Mercedes-Benz;CLA 45 AMG;2019;2019;381 hp;Benzin
bad157da88cbee16d36750037b43e705eda928696f6398de0c27e2625d3660cc;3;Volkswagen;Arteon;2022;2025;280 hp;Benzin
a9170136073e4e4397e89bc818a3d1a4e61222b3ebca8ff87fcb0da9519c60a8;3;Mercedes-Benz;C 300;2022;2022;286 hp;Diesel
826a912554407f9b2bc4c010a8b21ed43fbc7fa0d7f3e293f8de2fbd5f64fff6;3;Mercedes-Benz;CLA 250 Shooting Brake;2023;2024;224 hp;Benzin
ad2374b7fb988689b9ed0c848817f09fd41d7617d3f63586d3cb94e612b64355;3;BMW;330;2021;2024;258 hp;Benzin
755d796b31aa5a0f8097d1115ebd0a0cd8084ed1ba2be6717d2779f88a1ad2d5;3;Volkswagen;Passat Alltrack;2022;2023;200 hp;Diesel
dcb531588c19528110daa69da37769509be0532cd689cd44232b797e51a6d2b1;3;Volkswagen;Passat;2025;2025;265 hp;Benzin
05e806f3b8976bfcd50272210fbb4126e1360fc9022b2680ff782520a3d7906a;2;Cupra;Leon;2023;2025;300 hp;Benzin
6586a31b3abcbbcce686642d3daaa42cfb59fdd627d1fdaa8ea8514ec3be439a;2;Volkswagen;Passat Alltrack;2022;2022;280 hp;Benzin
464bd4585144e5ef0ad86b2cda958dfe98c5d01dae22c1ea78194946fd7a0072;2;Dodge;Challenger;2020;2021;492 hp;Benzin
eaa77f704c6da9da03a226bef1105a4f099a828248070a3a8dd41291d52c39d8;2;Mercedes-Benz;C 43 AMG;2020;2020;390 hp;Benzin
7d71105ecec52bcea4a8831832fcf0a5634fd0cb7017d816eafc7400ef8e75ef;2;BMW;330;2022;2022;292 hp;Benzin
5381854110c9a3065ee496162f0c4b199c881c5495ea70207d32dca2e112ec2c;2;BMW;1er M Coupé;2023;2023;306 hp;Benzin
1f0e9332b54a4bceb0cc2c132b6075a46e59b73ca379d0b76db7eb3b0716664a;2;Ford;Mustang;2019;2020;450 hp;Benzin
a1fe1f722e6aaef6208c8bfb0a8be24df7536cab7928119746bc544b9504b2f1;2;BMW;M340i;2022;2022;374 hp;Benzin
